,Exp,B1,B2,B3,B4,SB,M,R1,R2,RL,BS,BRT,Inf. (Mo),Inf. (Med),Clar. (Mo),Clar. (Med)
0,Earthquake and burglary cause alarm which leads to John Calls and Mary Calls.,0.193209177,2.11E-09,4.82E-12,2.30E-13,0.022602983,0.153664738,0.214285714,0,0.169228136,0.337679847,0.543461139,5,5,5,5
1,Earthquake and burglary both set the alarm off which then John Calls and Mary Calls.,0.260441746,0.138013111,1.14E-06,3.32E-09,0.050568806,0.164992736,0.266666665,0.071428566,0.221843688,0.355006131,0.383620457,1,3,2,2
2,It can be seen from the diagram that both earthquake and burglary events will trigger the alarm and the alarm will inform John and Mary. Simply means that they will get called if and only if the aforementioned event occurs.,0.105798799,0.055297112,0.035417058,5.14E-06,0.03457551,0.075224611,0.26,0.075471694,0.188519187,0.402618285,0.500866872,5,6,3,3
3,"The existence of an alarm, can alert you in case of a break or a natural disaster (earthquake). the alarm attracts your attention, so that depending on the gravity of the situation, you inform the authorities in the field.",0.059381578,0.031153307,2.47E-07,7.10E-10,0.007309226,0.03002583,0.103703704,0.038461535,0.084416725,0.270620338,0.29700882,2,2.5,1,2
4,Alarm can be set on by any of the event burglary or earthquake resulting in a call to John and Mary.,0.397117518,0.240355708,0.14388513,2.02E-05,0.090083701,0.245484711,0.449999999,0.176470584,0.396727141,0.409317411,0.619328789,3,3.5,4,4.5
5,If burglary or earthquake alarm starts and calls John and Mary.,0.394906883,0.239045721,0.163809669,2.46E-05,0.110616035,0.295252444,0.407692307,0.166666663,0.442601155,0.517402846,0.533472283,2,2,2,3
6,"The alarm is triggered when there is a burglary or earthquake. If that happens, John and Mary will call.",0.248988119,0.118185307,9.37E-07,2.69E-09,0.080272357,0.239242737,0.417647058,0.187499996,0.122244489,0.590632434,0.727612067,3,3,1,1
7,The Alarm can be triggered by Burglary or Earthquake in these cases John Calls or  Mary Calls.,0.168031922,1.64E-09,3.55E-12,1.61E-13,0.040055891,0.226975204,0.174999999,0.066666662,0.128697277,0.30299296,0.653643251,3,3,4,4
8,"Burglary and earthquake can trigger the alarm.  Phone calls by John or Mary do not but if this is a personal call to the house by John and Mary and they try to enter when the alarm is set, then the alarm would be triggered.",0.055204043,0.034943418,2.33E-07,6.15E-10,0.027089874,0.086046198,0.193333334,0.103448273,0.066358714,0.320894563,0.426680671,2,2,1,1
9,In the event of either burglary or earthquake the alarm will call John or Mary.,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6
