,Inf mode,Inf median,Clarity mode,Clarity median
1,5,5,5,5
2,1,3,2,2
4,5,6,3,3
7,2,2.5,1,2
8,3,3.5,4,4.5
9,2,2,2,3
10,3,3,1,1
11,3,3,4,4
12,2,2,1,1
13,6,6,6,6
15,2,2,1,2
16,7,7,5,5.5
17,4,5.5,3,3
20,1,1,1,1
21,2,2,3,3
22,5,5,7,6.5
23,2,5,2,3
24,7,7,5,6
25,5,5.5,7,7
26,4,5,7,7
27,5,5,7,7
28,5,5,2,3
29,2,6,2,3
30,3,3,3,3
31,2,2,4,5
32,5,6,5,6
35,6,6,5,5.5
36,3,3,4,5
37,7,7,3,5
38,4,5.5,6,6
40,5,5,3,3
42,5,5.5,5,6
43,6,6.5,6,6.5
44,3,3,2,4
45,6,6,6,6
46,4,5.5,2,5.5
47,4,4,7,6
48,5,6,5,6
50,7,6.5,5,5.5
51,4,5,4,5
52,5,6,6,6
54,7,7,6,6.5
55,4,4,5,5
57,7,7,1,4
58,2,2,2,2.5
59,1,1.5,1,1.5
60,1,1,4,4
62,2,3.5,4,4
63,2,5,6,6
64,6,6,6,6
65,4,4,3,3.5
66,7,7,7,7
68,2,2.5,4,4
69,2,2.5,2,2
70,3,3,2,4
73,1,5,7,6
75,5,5,5,5
76,3,3,3,5
80,3,3.5,2,2
82,3,4,3,5
83,7,7,7,6
84,7,7,6,6.5
