,mode,median
1,4.0,4.0
2,3.0,5.0
3,4.0,4.0
4,2.0,4.0
5,7.0,7.0
6,1.0,3.0
7,5.0,5.0
8,5.0,5.0
9,5.0,5.0
10,2.0,4.0
11,7.0,7.0
12,2.0,3.0
13,5.0,5.0
14,2.0,3.0
15,4.0,4.0
16,4.0,5.5
17,1.0,1.5
18,1.0,1.0
19,1.0,5.0
20,6.0,5.5
21,1.0,1.5
22,2.0,2.5
23,1.0,4.0
24,6.0,6.0
25,4.0,4.0
26,,
27,5.0,6.0
28,3.0,3.0
29,7.0,7.0
30,6.0,5.5
31,5.0,5.0
32,4.0,4.0
33,6.0,6.0
34,5.0,4.5
35,6.0,6.0
36,7.0,5.5
37,3.0,5.0
38,6.0,6.5
39,,
40,1.0,1.5
41,7.0,5.0
42,3.0,5.0
43,7.0,7.0
44,7.0,4.5
45,7.0,7.0
46,7.0,7.0
47,7.0,7.0
48,6.0,6.0
49,6.0,6.0
50,7.0,7.0
51,5.0,4.5
52,3.0,5.0
53,6.0,6.0
54,7.0,7.0
55,3.0,3.0
56,1.0,5.5
57,6.0,6.0
58,2.0,4.0
59,4.0,4.5
60,3.0,3.0
61,4.0,4.0
62,7.0,7.0
63,2.0,3.0
64,2.0,4.0
65,5.0,5.0
66,4.0,4.0
67,4.0,4.0
68,3.0,5.0
69,6.0,6.0
70,5.0,5.0
71,5.0,5.5
72,2.0,2.5
73,5.0,5.0
74,5.0,5.0
75,,
76,7.0,5.5
77,1.0,5.5
78,7.0,7.0
79,,
80,7.0,5.5
81,3.0,3.0
82,4.0,6.0
83,5.0,5.5
