,Inf mode,Inf median,Clarity mode,Clarity: median
1,4,4,5,5
2,3,5,3,4
3,4,4,4,4
4,2,4,2,5.5
5,7,7,5,5.5
6,1,3,1,5
7,5,5,3,3.5
8,5,5,3,3
9,5,5,3,3.5
10,2,4,5,5
11,7,7,5,6
12,2,3,2,5
13,5,5,7,5.5
14,2,3,3,4
15,4,4,5,5
16,4,5.5,7,7
17,1,1.5,7,7
18,1,1,3,3
19,1,5,5,6
20,6,5.5,1,4.5
21,1,1.5,1,2
22,2,2.5,3,3
23,1,4,3,4
24,6,6,5,5
25,4,4,5,6
26,,,2,2
27,5,6,3,4
28,3,3,2,4
29,7,7,5,5
30,6,5.5,1,4
31,5,5,3,4.5
32,4,4,4,4
33,6,6,3,3
34,5,4.5,3,4
35,6,6,6,6
36,7,5.5,4,5
37,3,5,5,5.5
38,6,6.5,5,6
39,,,,
40,1,1.5,1,3.5
41,7,5,1,1.5
42,3,5,7,7
43,7,7,3,3
44,7,4.5,7,6.5
45,7,7,7,7
46,7,7,7,7
47,7,7,7,7
48,6,6,7,6.5
49,6,6,5,6
50,7,7,7,7
51,5,4.5,6,5
52,3,5,5,5
53,6,6,5,5
54,7,7,7,7
55,3,3,4,4
56,1,5.5,6,5.5
57,6,6,5,5
58,2,4,4,4
59,4,4.5,2,3
60,3,3,7,7
61,4,4,3,4.5
62,7,7,4,4.5
63,2,3,3,3
64,2,4,2,3
65,5,5,3,3
66,4,4,5,5
67,4,4,4,4
68,3,5,3,5
69,6,6,6,6
70,5,5,4,5
71,5,5.5,4,5
72,2,2.5,2,2
73,5,5,2,3
74,5,5,7,7
75,,,,
76,7,5.5,4,5.5
77,1,5.5,4,4.5
78,7,7,6,6
79,,,,
80,7,5.5,7,5.5
81,3,3,5,5
82,4,6,6,6
83,5,5.5,6,6
