,mode,median
1,2.0,2.0
2,3.0,3.5
3,,
4,3.0,3.0
5,2.0,2.5
6,5.0,5.0
7,3.0,4.5
8,,
9,6.0,6.5
10,1.0,1.0
11,5.0,5.0
12,2.0,2.5
13,7.0,7.0
14,5.0,5.0
15,5.0,5.0
16,6.0,6.5
17,2.0,2.0
18,3.0,3.0
19,6.0,6.0
20,5.0,5.0
21,1.0,3.5
22,5.0,5.0
23,4.0,6.0
24,4.0,4.0
25,2.0,2.0
26,2.0,4.0
27,1.0,4.0
28,5.0,5.5
29,6.0,6.5
30,5.0,6.0
31,2.0,4.0
32,3.0,4.0
33,7.0,7.0
34,5.0,5.0
35,6.0,6.0
36,5.0,5.5
37,5.0,5.0
38,5.0,5.5
39,1.0,1.0
40,2.0,2.0
41,5.0,5.0
42,5.0,4.0
43,3.0,4.0
44,6.0,6.0
45,4.0,5.0
46,6.0,6.0
47,5.0,5.0
48,5.0,5.0
49,7.0,7.0
50,2.0,4.0
51,3.0,5.0
52,4.0,4.0
53,2.0,2.5
54,3.0,3.0
55,6.0,6.0
56,5.0,5.0
57,5.0,5.0
58,7.0,7.0
59,3.0,3.0
60,1.0,3.5
61,1.0,1.5
62,5.0,5.5
63,7.0,7.0
64,5.0,5.5
65,5.0,4.5
66,5.0,5.0
67,5.0,6.0
68,,
69,5.0,5.0
70,7.0,7.0
71,5.0,5.0
72,6.0,6.0
73,5.0,5.5
74,2.0,2.5
75,6.0,6.0
76,3.0,3.0
77,3.0,4.0
78,5.0,5.5
79,7.0,7.0
80,6.0,6.0
81,4.0,5.0
82,6.0,6.0
83,2.0,2.0
