,Inf mode,Inf median,Clarity mode,Clarity: median
1,1,3,2,2
2,2,2,3,3.5
3,,,,
4,5,5,3,3
5,1,2,2,2.5
6,7,5,5,5
7,5,4.5,3,4.5
8,,,,
9,5,6,6,6.5
10,2,2,1,1
11,3,5,5,5
12,3,3.5,2,2.5
13,5,6,7,7
14,5,5,5,5
15,2,5,5,5
16,6,6.5,6,6.5
17,1,2,2,2
18,2,2,3,3
19,6,6,6,6
20,5,4.5,5,5
21,4,4.5,1,3.5
22,5,5,5,5
23,4,5,4,6
24,4,4,4,4
25,2,4,2,2
26,1,4,2,4
27,3,4,1,4
28,7,7,5,5.5
29,6,6,6,6.5
30,2,4.5,5,6
31,5,4,2,4
32,2,3,3,4
33,6,6,7,7
34,5,6,5,5
35,2,2,6,6
36,6,6.5,5,5.5
37,6,6,5,5
38,4,5,5,5.5
39,3,3.5,1,1
40,1,1,2,2
41,6,6,5,5
42,2,4,5,4
43,7,7,3,4
44,7,7,6,6
45,6,6.5,4,5
46,2,3,6,6
47,3,3,5,5
48,5,5,5,5
49,7,7,7,7
50,2,4,2,4
51,3,3,3,5
52,3,4,4,4
53,4,4,2,2.5
54,3,3,3,3
55,6,6,6,6
56,5,5,5,5
57,5,5,5,5
58,1,1,7,7
59,2,3,3,3
60,4,4,1,3.5
61,1,2,1,1.5
62,5,5.5,5,5.5
63,7,6.5,7,7
64,5,5,5,5.5
65,5,5.5,5,4.5
66,5,6,5,5
67,4,5.5,5,6
68,,,,
69,3,5,5,5
70,6,6,7,7
71,4,4.5,5,5
72,4,4,6,6
73,2,4,5,5.5
74,5,6,2,2.5
75,6,6,6,6
76,1,3,3,3
77,3,5,3,4
78,6,6,5,5.5
79,4,5,7,7
80,3,3,6,6
81,3,5,4,5
82,7,7,6,6
83,2,4,2,2
