3,4,5,6,7,9,10,11,12,14,15,17,19,21,22,24,25,28,29,32,33,34,37,38,41,42,43,44,45,46,47,48,49,51,52,53,54,56,57,58,59,63,64,65,66,67,68,69,70,72,73,76,80,82,83
,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,7,,,,,,,,,4,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,7,,,,,6,,,,,,,,5,,,5,,,,,,,
,,5,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,7,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,7,,,6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,2,5,,,
,,,,,,,,,5,,,,,,,,,,4,,3,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,5,,,,,,,,,,,,7,,,,,,,,,,5,,,,,,,,,,,,,,,,,
,,,,,,,5,7,,,,,,,,,,6,,3,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,6,,,,,5,,,,,,,,,,7,,,,,,
,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,7,,,,,,,7,,,,,,,,,4,,
,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,6,,,5
,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,4,,5,,,,,,,,,,,,4,,,,,,,,,,6
7,,,1,,,,,,,,,,,,,,7,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,5,,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,4,,,,,,1,,,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,,,,,,,,,,,,,,3,,,5,,,,,,,
,,,,,,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
,,,,4,,,,,,,,5,,,,,,,,,,,,1,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,,3,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,7,,
,,,,,,,,,4,,,,,,,,,,,,7,,,,,,,,,,,,,,,,6,,,,,,,6,,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,7,,,,,,,2,,,,,,,,,,2,,,,,
,,,,,,,,,,,7,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,7,
,5,,,,,,,,,5,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2,,,,,,,,4,,,,,,,,,7,,,4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
,,,,,,,,2,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,6,6,
,2,,,,,,,,,,,,3,,,,,,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,7,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
4,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,6,,6,,,,,,,,,,,6,,,,,,,,,
,,,,,,,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,6,,,,,,,5,,,,5,,,,,,
,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,7,,4,,,,,,,5,,
,6,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,6,,,,7,,,
,,,,,,,,,3,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,5,,5,,,,,,,,,,,,,,1,,,,,
,,,,,,,,,,,,,,,,6,,,,,,,,2,1,,,,,,,,,,,,,,,,3,,,,,,,,,3,,,,
,,,,,,,,6,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,4,,,,,
,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,4,,,4,,,,,6,,,,
,,,,,,,7,,,,,7,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
4,,,7,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,
,,,,,,,7,,,,,,,,,,4,,5,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,6,,2,,,,,,,,,,,,,,,,,,,,,,,4,,,2,,,,,,,,,,,
1,,,,,,5,,,,,,6,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,5,,,,,,,,,3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,7,,,,,,,,,,,,,,,,,7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,7,,,6,4,,2,,,,
,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,,,,,5,,,5,,,,,,4,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
